Specimen: 1	Specimen: 1	Specimen: 2	Specimen: 2	Specimen: 3	Specimen: 3	Specimen: 4	Specimen: 4	Specimen: 5	Specimen: 5	Specimen: 6	Specimen: 6	Specimen: 7	Specimen: 7	Specimen: 8	Specimen: 8	Specimen: 9	Specimen: 9
Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample
nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN
913.7895365	98.3800075	907.4662725	98.40017602	909.7642684	98.38042768	904.8286836	98.36118942	913.1906989	98.37030381	906.7346125	98.36104203	901.1409584	98.35171943	904.0192542	98.39066122	909.2628502	98.38041878
914.0496523	98.37998487	907.3124837	98.4001894	910.5128353	98.38036251	905.3741064	98.36114196	913.3455101	98.37029035	907.6459145	98.36096267	901.435044	98.35169375	903.6832134	98.39069052	909.804623	98.38037166
914.1900084	98.3799727	907.2978173	98.40019069	910.4567949	98.38036741	904.9876471	98.36117561	913.2091734	98.37030225	906.8304033	98.3610337	901.7857808	98.35166319	904.3084506	98.39063605	910.6927562	98.38029428
914.1768999	98.37997381	906.7775768	98.40023602	911.412609	98.38028426	905.4531124	98.36113509	913.6156912	98.37026681	906.9535958	98.36102299	901.8174055	98.35166044	903.8899429	98.39067243	910.4342426	98.38031674
913.2085816	98.38005807	907.3373288	98.40018725	911.3569272	98.38028907	905.7371492	98.36111038	914.1290587	98.37022218	906.4091541	98.36107034	901.4933457	98.3516886	904.5284465	98.39061684	910.6181812	98.38030083
913.8537933	98.38000185	907.4990756	98.40017319	912.0344992	98.38023009	905.1294621	98.36116337	913.6011784	98.37026803	906.7345731	98.36104205	902.0039971	98.35164418	904.3128792	98.39063566	910.8695274	98.38027889
913.4742341	98.38003493	907.9075138	98.4001376	911.9071055	98.3802412	905.6300656	98.36111976	914.0270582	98.37023102	907.8839574	98.36094196	901.7975426	98.35166214	904.6021532	98.39061044	911.4858787	98.3802253
913.301924	98.38004998	907.7852786	98.40014819	912.3802986	98.38020002	905.6129171	98.36112132	914.4679974	98.37019268	907.9648401	98.36093498	902.2709046	98.35162088	904.8577232	98.39058821	911.9028755	98.38018896
913.7893683	98.38000754	908.3335564	98.40010046	912.2206346	98.38021389	905.9675891	98.36109047	915.0516419	98.37014191	907.9030169	98.36094029	902.3469898	98.3516143	904.6765769	98.39060399	912.4503848	98.38014131
914.463982	98.3799488	907.9416816	98.40013463	912.7501215	98.38016783	905.8346276	98.36110201	915.0020759	98.37014613	907.4259841	98.36098184	903.2147598	98.35153871	904.5606872	98.39061397	912.3008709	98.38015432
913.7416375	98.38001176	908.1335477	98.40011784	912.8676238	98.38015761	906.4424387	98.36104915	915.3146518	98.370119	904.387415	98.36124644	902.1226797	98.35163369	904.428304	98.39062555	912.7616108	98.38011422
913.1397697	98.38006408	908.4028634	98.40009441	912.5584406	98.38018449	906.7834856	98.36101944	914.8613513	98.37015853	903.0613167	98.36136193	902.5064034	98.35160037	904.9018736	98.39058434	912.9226021	98.38010027
912.8136363	98.38009246	908.4864434	98.4000871	912.1061923	98.38022385	906.9266107	98.36100698	915.669452	98.37008817	903.16443	98.36135291	903.507555	98.35151316	904.6690959	98.39060463	913.6257225	98.38003903
913.6851008	98.38001666	909.011056	98.40004144	913.1007305	98.38013735	907.1184991	98.36099026	915.7253016	98.37008327	904.0212321	98.36127838	902.523758	98.35159881	905.7005721	98.39051483	913.8032071	98.38002359
913.5256989	98.38003052	908.2491441	98.40010776	913.6653561	98.38008819	907.4875132	98.36095815	915.9790742	98.37006109	904.5646544	98.36123107	902.1573889	98.35163073	905.5897021	98.39052444	913.6407853	98.38003774
913.8976862	98.37999813	907.9045996	98.40013783	914.2357185	98.38003856	908.3154762	98.36088621	916.6588116	98.37000197	903.7405372	98.36130283	902.4995204	98.35160089	906.3780801	98.3904558	913.6547707	98.38003652
913.759798	98.38001013	908.0362271	98.40012632	913.3800913	98.38011304	907.9523232	98.36091779	916.5533108	98.37001118	905.6378738	98.3611377	902.665961	98.35158645	905.8627636	98.3905007	913.9835638	98.38000795
913.8772061	98.37999991	908.0703254	98.40012338	914.243038	98.38003795	907.8602369	98.3609258	916.7461288	98.36999438	905.4068113	98.36115774	902.7370265	98.35158021	905.8558736	98.39050128	914.2854656	98.37998165
913.1602399	98.38006235	908.0456193	98.40012552	913.8549719	98.38007167	908.1725994	98.36089865	917.7367344	98.36990815	905.5178129	98.36114815	903.1558882	98.35154373	906.1071409	98.39047936	914.3743881	98.37997395
913.9069247	98.37999736	908.2331826	98.40010924	914.3156153	98.38003159	909.5656432	98.36077733	918.2762761	98.36986121	906.2792382	98.36108185	903.3517301	98.35152671	906.419362	98.39045222	914.0807367	98.37999953
913.5578434	98.38002773	907.6620262	98.40015894	914.1093386	98.38004955	908.7614691	98.36084744	917.6601914	98.36991488	906.1657826	98.36109169	902.8240123	98.35157261	906.3343078	98.39045961	914.4704834	98.3799656
913.0058157	98.38007578	908.891574	98.40005187	914.5689063	98.38000957	909.5385173	98.36077976	917.9437241	98.36989018	906.7715938	98.36103899	902.7244067	98.35158128	906.4070163	98.39045325	914.4342716	98.37996875
912.620161	98.38010936	907.822732	98.40014486	914.6717076	98.3800006	909.4371087	98.36078861	918.3050634	98.36985871	906.7958244	98.36103686	902.0547019	98.35163953	906.730711	98.39042512	914.6425916	98.37995063
913.8616618	98.38000129	909.1153869	98.40003234	915.0670931	98.37996621	910.014801	98.36073833	917.9858633	98.36988649	907.6382835	98.36096354	902.441294	98.3516059	906.6241436	98.39043441	914.7056984	98.37994516
913.4763656	98.38003486	909.1817558	98.40002656	914.7231299	98.37999613	909.8660632	98.36075126	918.554448	98.36983702	907.1117697	98.36100934	902.8135438	98.3515735	906.294557	98.390463	915.2854771	98.37989468
